"text_id","subject","text","ratingA1","ratingA2","ratingA3","labelA","ratingM1","ratingM2","ratingM3","ratingM4","ratingM5","labelM"
"C05796441_2","","Cheryl:

Are we in a good place to begin paperwork to bring Jen Davis up here on TDY in October?

If so, I would recommend we ask her to report on October 29 and I will get the EX office to start the paperwork. She will be detailed to us for 90 days, which will enable her to receive funding for housing, meals + incidentals, etc., and this 90 day period will carry her through the end of the term on January 20, 2013. This schedule would give me 10 days or so of consultation before a desired departure for Vienna on November 14.

I am not intent on rushing out to Vienna; the closer we get the more there is to be done, and we may not get ourselves ""packed out"" before we depart (not a wholly unwelcomed outcome, since we can set aside that task for December or January). But, if the elements are in place, Carol and I would like to go out mid-November in order to participate in IAEA meetings on November 26-30.

My swearing-in ceremony is scheduled for November 9 at 10am on the 8th floor. Whatever plan we embrace, that date is set and Carol and I are eager for the day.","3","2","1","2","2","2","3","1","2","2"
"C05786430_1","Department of State","Our friend, General Joe Ballard owns The Ravens Group. Our friend, General Johnnie Wilson, is on Ballard's board... They do extraordinary work across govt agencies including full management of Walter Reid, administrative work at NIH and management of facilities at the VA. They also do GSA work and DoD work... They carry all desired statuses such as Service Connected Disabled Veteran, minority, etc...

The Ravens Group has a consistent and strong track record in government services.

I've sought to have the Gens meet Under Secretary Kennedy. I don't know if my requests have made it to him... We know of specific opportunities State is seeking and we know that there are some timely opportunities, too.

You will see below some lower level work outreach that has taken place at State... But there are more opportunities than just those mentioned below...

I'd love the opportunity for our Gens to come in for appropriate meetings, which seems to be Under Secretary Kennedy. I think, while lower level outreach is going on, having this top level meeting would be invaluable for State to know and be aware of a govt contracting group with the best possible scores, results, status and cost saving measures...

I know Gens Ballard and Wilson would greatly appreciate your consideration in helping them share their work and meet the right folks.

Thanks so much. B.

Sent from my Verizon Wireless BlackBerry","2","1","3","2","3","2","3","1","3","3"
"C05780653_3","","Outstanding news! Miki Rakic called about 10 minutes ago to pass along that Goran Hadzic was arrested this morning in the Frushka Gora region of Vojvodina. He is on his way to Belgrade now for questioning, etc. Should appear before the War Crimes Court and be on his way to The Hague within 4-5 days. Tadic is giving a press conference at 11am. We will follow up with Miki and BIA to get additional details as soon as we can. Will also keep an eye out for any Brammertz statement.

I recommend a welcoming statement from the Secretary and the WH, if at all possible, noting the significance of this arrest for finally closing the chapter on Serbia's obligations to the Tribunal.

Mary Burce Warlick

Ambassador US Embassy, Belgrade +381-11-306-4605","2","3","3","3","2","2","3","2","3","3"
"C05782181_1","Libyan CG Pol Dirs mtg @ Istanbul @ 14:00 Thursday","Responding to separate emails from Uzra + Jeff:

1) Sinirlioglu delighted D/B will participate on Thursday, and has agreed to push official start time back to 14:30 to accommodate D/B wheels down ca. 13:00.

2) I told him I understood that BOTH Burns + Feltman will participate. (If the new news that D/B will participate means that Feltman will opt out, please advise).

3) Delegations requested limited to principal + 2, but MFA will adjust for us if we request. Please let me know our desired participant list.

4) Venue is Conrad Hotel. 5) FYI: AL SYG will participate.

Francis J. Ricciardone US Ambassador Ankara, Turkey tel: +90 312 457 7280","1","2","1","1","2","2","1","3","1","1"
"C05785147_0","Mexico","Guy from Mexico is in NY and is cooperating. Discussions with him continue this am. Since he is cooperating, no move to court or to presentment scheduled yet.

Mexican support has been excellent throughout. Alice has call sheet for Espinosa — call can take place whenever it's convenient for you later this morning (Espinosa is apparently out on West Coast, but Ops could confirm time difference).

Holding off for now on other calls that rest of us would make (Saudis, et al), pending further developments in NY.

Will let you know as soon as we have more.","2","1","1","1","1","1","2","3","1","1"
"C05759844_1","","For Secretary Clinton

Dear Hillary,

You will remember our initiative to bring the most senior retired generals from the Chinese and US militaries. With these 10 generals from the two countires, I am going to be in DC on October 21 and 22. these Generals have been part our of our Sanya Initiative - the unofficial mil-mil dialogue I started last year. It'll be me, Joe Prueher, Charley Wilhelm, Ron Fogleman, and Denny Reimer. The Chinese will be led by General Xiong Guangkai and include four other very senior and respected Generals from the PLA.

The Chinese view this as a formal track one program and take it very seriously. We will meet with ADM Mullen and ADM Keating in Honolulu and see GEN Cartwright at the Pentagon. It would be a terrific sign of the U.S.'s support for this relationship if you were able join or host (I'd be pleased to fund) a very private dinner on the evening of the 21 or the 22nd of October. Just you, the Generals, and interpreters - perhaps the Chinese Ambassador if you think that would be valuable.

I met with Kurt Campbell last month, and we will meet with him and Jim Steinberg. He expressed strong support for this dialogue as well as the economic one we started in Beijing last August. You know we would welcome involvement from State at any of our projects - our goal is to make a small but meaningful difference in the relationship.

Warm best wishes, (I'm cheering for you!)","2","3","3","3","3","2","3","3","3","3"
"C05778292_0","Further Strong Words From Raj Shah","I'm sure you saw Raj's speech last week; I thought it was courageous, powerful, and compelling. (I had my usual strong reaction to the absence of almost any mention of State, but on the other hand I've been hearing from some USAID folks that Raj is being criticized in the development community for being a State puppet, so I'm guessing he was trying deliberately to assert himself. Still, I'll be sending a strong message to him and Don and Susan Reichle on this point before I leave.) See below for Raj's follow-up — it's highly ironic, of course, but nevertheless strong and good stuff. I also wanted to note that USAID is already presenting a new face around town; Jose Fernandez and I were on a QDDR panel at CFR two weeks ago with Michael Kremer— having Michael be the USAID representative simply speaks volumes for their ability to be a thought leader and real player in the development community, as does Steve as their chief economist. Michael also made a strong case for what Development Innovation Ventures is already doing — handing out grants and expanding fellows. And the new monitoring and evaluation framework is attracting attention already from DFID. AM","2","1","2","1","2","1","1","2","2","1"
"C05772086_1","Thank You","Cheryl,

I received word from the White House, over the holiday, that I have been appointed Alternate Observer to the International Fund for Ireland with Dan Hynes of Chicago as Observer. I want to convey my sincerest thanks to you for your help in shepherding my nomination through the White House and ask you to thank Secretary Clinton for me. Secretary Clinton has always been an ardent supporter of the Fund and I doubt it would have survived without her advocacy. I am very excited about my appointment and look forward greatly to working with Mr. Hynes to promote prosperity on my native beleaguered island.

With renewed thanks.

Stella

Stella O'Leary President Irish American Democrats (202) 362-9064

wvvw.inshamencandemocrats.org","3","3","3","3","3","2","1","2","3","2"
"C05780274_2","Do you have any recs to replace you?","Cheryl:

Again, I'm so glad you asked. The Bureau -- whose leadership has suffered in the past -- must have an Assistant Secretary who is dynamic, knows the workings of government and the field of humanitarianism, and enjoys the Secretary's confidence. It is so critical, because, more than perhaps any other place in the Department, the Bureau is where so many of the operational objectives of the Secretary in QDDR are playing out, day-in and day-out — with dozens of refugee officers overseas coordinating closely with PRM and regional bureaus in Washington. There are several stellar individuals. This is a first cut, and I hope you'll give me the chance to come in with others if I think of more. How great it would be to have someone in place when I leave.

Any of these would be top choices. If you want me to rank them, best to do by phone. But on a 1 — 10 scale, they are all about a 9. Eric","1","2","3","2","2","3","1","2","3","2"
"C05767214_1","","Rich---Thanks for all you did to make the past year a successful one, I hope you and your family will have a happy and healthy new year. I'm looking forward to 2010!

Here's some questions and I'm copying Jake so he can help w the followup--

Right before I left, Kirsten Gillibrand called to discuss her cybersecurity bill. She wants to draft it so it favors State. I told her we would connect her up w the right person who would call her to discuss in the new year. Who should that be in your shop or elsewhere? Pis let me know so I can call and tell her.

When I was in Kabul, the Aga Khan told me he had given a ""roadmap"" to stability in Afghanistan and wanted me to see it. That's all I know; can you track it down?","2","1","2","1","1","2","1","2","1","1"
