"text_id","subject","text","ratingA1","ratingA2","ratingA3","labelA","ratingM1","ratingM2","ratingM3","ratingM4","ratingM5","labelM"
"881357","Red Rock posting -- URGENT","As I discussed with the commercial group, it is very difficult to post a minimum NPV because it depends not only on the term but on other assumptions in James' chart as well.  (Steve can shed some more light on this if you see him at Keyex).

So I've recommended that we discuss with individual shippers what there needs might be as far as term, then give them a number.  They were planning on calling shippers individually anyway to make them aware of the Needles space.

We can use our chart as a go-by so everyone gets treated the same.","1","2","2","1","2","2","2","2","2","2"
"742840","1:30 Meeting","In case you need them for the meeting, here is a copy of the Order

and a copy of the comments we filed on the NOPR

I'll fax an excerpt I did of the part of the Order that discusses the Commission's rationale for certain requirements, as well as the part of the Appendix that just has the requirements applicable to Sellers.  I'm also faxing the Data Template for the sellers' report which shows the format that the Commission will require the data to be submitted in.  In addition, the Logistics group has done a schematic that shows how they transact business in California which I'll also fax.

(Jim and Susan - I'll bring copies to the meeting here.)","2","2","3","3","2","2","2","2","2","2"
"1261971","Ski Bunny","Hey...

so i've given everyone the heads up around here regarding my decision, and suprisingly enough they have been on the whole very supportive.  Frank told me this was a ""good thing"" for me and that he was jealous.  And Steve actually said he was proud of me.  anyway, it's gone much better than i had expected.  still don't know exactly what happens to me now.  so we shall see what the next weeks hold in store.

i'm still checking into lodging etc. for this weekend/early next week.  i can fly in saturday or sunday, but maybe sunday morning would be best.  i figure we could touch base and plan the next couple days (plus, i wouldn't have kept you up all night chatting saturday night so that you're exhausted for work sunday).  then we'd have all day monday and tuesday and i'd probably fly back on wednesday....just a thought, feel free to share you own.","2","2","2","2","1","1","1","2","2","1"
"1144534","Master Netting Agreements Reminder","Reminder - If you are working on a Master Netting Agreement, you also need to understand what type of entities are being included in the netted group.  On the power side, there are regulatory restrictions on a regulated utility from becoming a guarantor of the debts of unregulated companies;  accordingly,  an MNA with a regulated utility and other unaffiliated parties on its side will not work, particularly if you are posting collateral on a fully netted basis.  In this case, the only option would be to keep the underlying margining agreements in place (no new global collateral annex) and have the MNA only be a cross default and acceleration and  possible setoff (just in case the money is going the right way and/or just in case it works).  Mary is working on a new draft of the MNA to be used if we are not superceding the underlying margining terms. Thanks","2","3","3","3","2","2","1","2","2","1"
"262992","2nd quarter PGG EBIT","Is there any chance that Stan (PGE) may be allocated any charges this quarter for the Tomas transaction that ran through the PGG books last year.   It would seem like if we were trying to make the transmission and distribution business numbers look good this quarter we would want to avoid making that charge.   Plus it doesn't sound to me like it was a PGE deal.

Second, I understand a discussion has taken place about offsetting the $3.2 million in costs associated with supply chain software associated with the sale of PGE to Sierra from the funds received from the termination.   What is the likelihood that we will get some relief for that item?

As you can see I am trying to get some certainty to some loose ends.","2","3","2","3","2","2","2","3","3","3"
"1286872","sale of Red Rock expansion capacity","A couple of more things on Red Rock.  First, Shelley asked whether ENA participated in the open season.  If not, and if they are interested, or if Mavrix or any one else who didn't participate in the open season is interested, we ought to put something on the EBB that says ""TW is now accepting binding proposals for the capacity described in its ____, __ 2000 open season and any shippers that didn't participate in that open season but who are interested in capacity should contact a TW marketing rep.""  Or something like that.   Is there any problem with that?  Second, the Jeffs (Fawcett and Dasovich) and perhaps others will be talking to Danny shortly about a possible next phase expansion into California.  Someone please take point on passing info from that meeting on to Shelley and MKM and me.  Shelley may want to have Stan tell Madden that we are looking at an additonal large expansion beyond the one we are about to file.  The PR mileage might be useful but Shelley will need to know as much as we can disclose outside about what we are up to.  If we get serious about looking at something that goes beyond the Cal border we may want to hold that internally for a while and not tell Madden.  On the other hand, I don't have any problem with Stan telling Madden that we have general concerns about whether pipe expansions within California will keep pace with interstate expansions to the border.  Jeff D's analogy of the ""four lane superhighway turning into a dirt road"" is too good not to use with Madden!  df","1","3","1","1","1","2","2","1","1","1"
"1308852","Retention awards","CIndy -- per Steve's approval below, please have the documentation prepared for the Ad Hoc grants as noted in the email below to present for the November grant date.  We have reviewed the guidelines submitted on grant amounts, and even though these grants are above the recommendations, there is strong justification in the amounts presented.  These individuals are in critical positions in Government Affairs and have unique and specialized skill sets.  Because of this, they are targets for outside organizations, and have been heavily recruited.  It is felt that these amounts in the form of an equity grant will be the retention hook that will keep them with Enron.

Please prepare the necessary documents to effect the above.  I understand you will seek Steve Kean's signature on the formal request that will be presented to the Compensation Committee.  Please let me know if you need anything further.","3","2","3","3","2","3","2","2","1","2"
"880729","Enron and United Way's Continued Partnership","Last month all of your donations helped Enron raise a grand total of $6 million for the United Way, including our corporate match.  Once again Enron employees made a difference and contributed more than any other pacesetter company in Houston. Also, congratulations to Elaine Brown with Enron Global Markets who won the drawing for two round-trip airline tickets for participating in this year's campaign.  Thanks to everyone at Enron for your generosity!

This week Enron and the United Way of the Texas Gulf Coast have entered in to yet another exciting partnership. Beginning with the Astros vs Giants game on Tuesday, October 2, one of Enron's primary signs at Enron Field will feature the United Way logo alongside the Enron logo.

The decision to include United Way's logo on the sign marks the first time in history that a naming rights partner is sharing exposure on one of its primary in-stadium signage locations with a non-profit partner.  This sign is also a free, innovative way to demonstrate Enron's support of the United Way and promote the agency's role in our community.

The millions of fans who attend Astros games each season will see the sign.  Be sure to look for this history-making sign hanging high above the outfield.","3","3","3","3","2","2","2","3","2","2"
"276661","Newest ASAP from Littler Mendelson","Below is the response from our broker commenting on the coverage issue posed by NEPCO.  Our confidential approach to this policy is in jeopardy as more and more people are creating a need to know and the ""traffic"" on this topic (internally and externally) has increase considerably. On this Nepco inquiry,  I suggest that I speak with David Lund on the coverage and request that he keep same confidential and advise his operations people that they need not pursue the issue any further.  Please advise if you concur?

On this same subject, I have received a request from Michelle Cash to notify our insurers of a potential ""age discrimination "" claim.  EEOC has made an ""inquiry"",  which means (according to Michelle), that they have received a complaint and want information. I have discussed with our broker, and they recommend, based upon review of the reporting provisions in the policy, that we file a report of a potential claim with underwriters. I do not have the all facts nor do I have copies of any of any documents, however, understand that this arises from the ""Performance Review process"". This is one we should discuss, as it could involve a large class of people.  Please give me a call.","2","2","2","2","3","2","1","2","2","2"
"83785","Greetings","All,

Recently I have taken over as Director of the Volume Management Group.  With Murray O'neil and Chris Stokely leaving, as well as other key members, I am becoming increasingly aware that the group is not currently providing the value to your desks as it has in the past.  My hope is that over the remainder of this year we can make a concentrated effort to bring the current group up to speed so that we can restore the level of service provided in the past.  We are currently initiating training both interally and externally to increase the groups understanding level. We are also Implementing new tools that should increse our effectiveness and efficiency.  Additionaly,  I would like to personaly invite your feedback on how indivduals and our group is performing and progessing during this transition.  Your feedback is critical to our success and I consider it critical to shaping this new group.  I want to know if we are performing the core acitities well,  and if we are developing a reputation as experts of how our markets  works as well as providing valuable analysis.  Personally,  I will be introducing myself to you over the next week or two and would like to sit with each of you to gain an appreciation for your roles and how we can play a role in aiding you.  as a parting shot Murray has asked most of the team to do the same so don't be suprised if you are suddnely enundated with requests to shadow you. I look forward to working with you all.

Regards,

Scotty Gilbert","3","2","1","2","2","3","3","1","1","2"
