"text_id","question_title","question","text","ratingA1","ratingA2","ratingA3","labelA","ratingM1","ratingM2","ratingM3","ratingM4","ratingM5","labelM"
"text237NE","Why is it that no one really cares?","Why do people not really care if you were in the plane that crashed into the South Tower(Boeing 7 47)?","There are millions of us that do care, that even though we didn't lose someone personally, the events of 9-11 touched & affected ppl all over the world. The events of that day and those who were lost haven't been forgotten, nor should they ever be. It is our responsibility and duty to strive to bring something good out of all the horrible events of that day. (& it began the moment the first plane struck, there were many acts of bravery, heroism, self-sacrifice, and kindness). A beautiful monument will be built in honor and rememberance of those lost - however that is not the most important thing to do. The most important way to remember and honor those lost is to improve security, raise the standards of training for those in airports, in security, change and modify high rise rescue policies, new communications between fire and police departments,,,,,it is thru these that those loved ones that were lost will be truly honored.","2","3","1","2","3","3","3","3","3","3"
"text1820SC","Why do you Christians allow a spoiled brat god to throw people into the lake of fire if he doesn't ge his way?","I mean, I've put up with some bratty gods before, but not like yours.  He makes up the rules as he goes along, and has you hopping from one foot to the other just to keep up.  Does he like playing ""Simon Says"" and he's Simon?  I always thought ""Simon Says"" was a stupid game.  Very easy to cheat at.  Oh, that's what is isn't it?  He's cheating.","I think your misinformed. God gives you the ability to choose. If you choose to seperate your self from him and all the Good that he has created. Why do you blame him. It was your decision. Furthermore, he is so loving and gracious that he let a spoiled brat like me live most of my life as a rebel. When I fanally listened to what people had been telling me all those years, This merciful god was filled with joy and accepted me as a long lost son. I pray that you will at least keep this in the back of your mind and someday, maybe you'll be ready to listen. He'll be ready to  lovingly accept you.","2","1","3","2","1","3","2","1","2","1"
"text1649SC","how messed up is this?","im biracial (black and white) my grandma on my moms side is racist aganst black ppl!","I was raised with 2 biracial siblings. Mom is non hispanic white and married a non hispanic black man, creating my siblings.  I am the 41 year old mother of 4 biracial children.  My grandmother disowned my mother when she married my stepfather, and then me when i married my husband who is black.  Grandmother, after many many years met my eldest daughter and then my other 3 children and adores them all.  I believe that when people are raised to ""see"" people in only one way, it is very difficult to change the negative images and voices that echo in their heads.  I believe that we should not harbor ill feelings for people that are less exposed to the beauty of the world and have learned to except others for who, not what.  Saddness for someone that chooses to negate the existance of another, specifically someone of their own blood and family is a lonely place to be.  Forgive, be patient and consider that you must be the change...

The browning of America is with us, but remember to look into the eyes, for they are the window to the soul.","2","2","2","2","3","3","3","1","2","3"
"text245FR","Does anyone trust a friend more than talking to their family?","I trust my friends more than my family, is this the same for everyone? and is it right to trust people who you dont see that much with personal info?","Trust is a word that has been one of the words taken likely over the years as much as love has been.  Trust requires an undeniable affection of some sort that is unspoken and earned. When a person becomes married most of the time that person becomes there partner. In life it's not so easy. Once again it will come down to how much of yourself are you willing to expose to someone else. And if you have the confidence in that person to carry a piece of you around without causing you any hurt because now you are exposed.","1","1","3","1","1","3","3","1","2","2"
"text475T","The best destination for a holiday this summer?","Where are you going or already been and why?","Depends on what you're looking for in a holiday and your budget.  I have nothing planned for this year.  If you're in Europe, the Greek Islands are good, I've been to Kos and Rhodes, they're ideal if you're looking for a beach holiday.  The people are friendly, it's cheap, the food is good and you can do an excursion to Turkey where you can buy good quality leather goods.  Actually out of those two islands I would recommend Rhodes, there's also lot's to see and do there.

The Caribbean is a good choice but a little pricey.  I can recommend Dominica, The Nature Island of the Caribbean.   If you are willing to wait a while, Thailand, (particularly the islands,) are good value from October to April.","3","1","2","2","1","2","2","3","2","2"
"text466T","where can I get cheapest airline tickets to travel....?","We are military...my husband and I along with our 2 mo old son would like to go back to the States yet his unit will only give us short notice of when we can go. We need multi city destination for about 21 days? Any suggestions and if so, what are the cheapest days to fly on?","Look up airline tickets, and then try traveling, and find all the expedia's and travelocity's, and use them all.  There's a good one, who's name I can't remember, but I think it begins with an 'f'.  I want to say fireball is pretty close, but I can't think specifically.  Make sure you find as many of them as you can, and open up a frew browsers at the same time, and compare them all.  Don't 'X' out of the screen to go to a new one because you'll lose the rates.  Keep the screen up, and open new browsers.  Do a few browsers on each site.  That's the best way........","1","1","1","1","2","1","2","2","2","1"
"text257PG","Is this the right place for an anti war protest?","Should I ask thinly veiled questions that are really nothing more than me posing on a soapbox and bashing our good soldiers? Will yahoo allow it forever? Will anybody get smart and REPORT me along with my extra user names? Should I pose under another name to gain more points while I insult other veterans and your very families? What do you think? IS THIS A GOOD PLACE FOR THAT?","Do you believe in freedom of Speech? I do. About the Soldiers. They are good people and all here know that. Misguided? Yes they are. But you and I ( And Others ) know the American Military people are the best of the best.  You and others stick up for them and that is very honorable thing to do.  I want to thank you for your replies and you taking the time to tell me what is and what isn't. You and others here are very nice and I for one am very proud to banter back and forth with all of you. You are a class group of people and now I'm retired. Note:...Remember there is another person pretending to be me here. He's good. I enjoy his post. So if he is here remember it may not be me.","2","1","1","1","2","2","2","2","1","1"
"text848NE","What's your take on immigration?","Should they stay or go? There should be some way to help them because the living conditions in Mexico are horrible. However, they should't be over here illegally and were footing the bill. How can our government come to a resolution on this? Holla back.....","First and foremost we should take care of our own before we start taking care of another country's problems,and second we should take in immigrants that want to be US citizens and make this country their own,mexicans that are here illegaly want the US to change to their ways instead of the other way around,no other ethnic group that has come to this country has demanded what mexicans are now demanding,to disrespect our flag by flying theirs in our country while being here illegaly is a slap on the face of every US soldier that fought for our flag,the very country where these people come from do not permit another flag to be flown in that way and neither should it happen here,this just proves their loyalty will never be toward the US,even if they become US citizens.","2","2","2","2","1","2","3","3","2","2"
"text1500NE","Has anyone seen The Steve Colbert roast on Bush.?","The media focused on the Double Bush"" thing more than Mr.Colbert's speech and I wondering why(Im pretty sure they were around the same time). I guess people want to see comedy more than the sad truth, thats why you dont hear much about global warming I suppose. What were thought on his speech though. I thought it was funny until I realized most of it was true.","The media ignores people like Colbert because he is the one encouraging them to ask more difficult questions.  For almost the entire Bush administration, many reporters have ignored the hardest-hitting issues.  By ignoring Colbert, they probably hope that the American public won't reflect too heavily on Colbert's ideas, and will continue watching the news, where they can see MURDER MURDER MURDER OH HERE'S A CUTE PUPPY MURDER MURDER WEATHER SPORTS MURDER.

This is a Presidency that is trying to sweep all of its problems under the rug, so they might be left on the doorstep of the next poor sap who becomes President.  Women should be particularly outraged at this-- the most likely 2008 Democratic cantidate is Hillary Clinton.  The Democrats are poised to win the next election barring a catastrophe, which should sweep the first female President into office.  By leaving all these messes to clean up (rampant big corporations, Iraq, education, healthcare, etc), the Republicans are essentially dealing a great blow to female Presidential cantidates in the future.","2","2","2","2","2","3","1","2","2","2"
"text543NE","What happens to ticket holders if Delta pilots strike?","We have tickets to fly in June. I talked to customer service and they said they would get us on another airline for the same dates and if not, the money will be refunded. That's great on the refund if they don't file bankruptcy first.","Make sure you know your ticket number -- it's not the same as the confirmation number you got when you purchased the tickets.  If you have a ticket number you can usually get onto another flight with a different airline.  Also, having an actual paper ticket helps in thse sorts of situations.  Another thing you can do is to be prepared in case you are stuck in an airport.  Know which airlines go where you need to get to with flight numbers and times and stuff.  That way you'll be ahead of everyone else who is trying to get on a new plane too.","3","3","3","3","3","2","2","3","2","3"
