"text_id","subject","text","ratingA1","ratingA2","ratingA3","labelA","ratingM1","ratingM2","ratingM3","ratingM4","ratingM5","labelM"
"FUYQ99EUHg2TOHMMTy7cFQ","Seasons Buffet","Most months this buffet at the Silverton has one day a week they do BOGO. For Jan it's BOGO Thursday. Sign up for a card at the player's club and the day of the BOGO print out a coupon at the kiosk and head to the buffet. The coupon is only good for that day.

Also the same day you sign up for the player's card, play table games and earn just 50 points and you get another coupon for a free buffet to use anytime you want.

The buffet is pretty good for $9.99, then factor in the BOGO it's only $5/person. Can't beat that deal, as you can't even get full of of $5 at a fast food place.  There's Mexican food (fish tacos, menudo, pozole, or albondigas soup, ground beef tacos), carving station (roast beef, chicken or turkey, and even their skin fried, ham, grilled veggies), Italian (pizza, pasta), Asian (Pad thai or chow mein, beef and broccoli, egg rolls, Asian soups, string beans), and salad bar. Even for a picky eater, you can make yourself a nice big healthy salad and it will be worth the $5.","3","2","3","3","3","2","3","2","1","2"
"8Mkhxopb8jzL748V-oCVKg","The Cleaning Authority - Phoenix","Awful, I should have looked at yelp.  I received a flyer in the mail and called to get information.  The new owner came over to give me an estimate and go through a folder with a complete description of what they do. I was thrilled and hired them  to clean every other week.  The first 2 cleanings they call their detailed cleanings and talk about over promise and under deliver.  The first 2 ""detailed cleanings"" were average and nothing what they tell you they would do.  The third normal cleaning was awful!  They missed everything and I really think my 4 year old could have cleaned better than they did.  You can tell they use a duster and just dust around things and not pick up small objects to dust under (lazy!)

On top of it, I had given them a key and on a visit they couldn't get the door unlocked and rather than call me, they had their manager Kim drive out with her screwdriver and take the whole lock off (which ended up breaking). They left after their cleaning with no door handle or lock which anyone could have gotten in, and they didn't even tell me the door handle was off.  They did comp the cleaning but I just don't feel like they used good judgment and had horrible communication.

We have security cameras installed and on 1 cleaning I could hear the 2 cleaners scoping out the cameras and telling each other where they were.  SHADY!!

Beware, they seem organized and the new owners seem nice but  I think whoever runs and hires these cleaners needs to replaced.  I definitely would not recommend them.","2","3","2","3","2","3","2","3","2","3"
"db7i0JVq9s_AKVvOoHBNxQ","Bad Owl Coffee","I don't know how I found this place on Yelp, but I'm so glad I did because I am a bigtime Harry Potter fan. I bookmarked it and insisted that my husband and I get our coffee here during our next visit. We found ourselves there on a Saturday morning around 9:30am and it wasn't too crowded.

I was overwhelmed by the sheer options of lattes and other warm beverages. Yelp was offering a 20% discount for checking in on iced lattes so I decided to do an iced latte to help me narrow down my choices, but it didn't help much. My husband ordered a hot coconut latte and he loved it!!! It's hard to impress this man with much but he thought his latte was excellent. We also shared the croissant breakfast sandwich and we both liked that as well.

I loved the subtle homage this place pays to Harry Potter. It's a cool place that both kids and adults can enjoy. I wish we had a place like this closer to where we live.","2","3","3","3","3","3","2","2","3","3"
"9HebYLRstsuqti5_7P0hEg","Moe's Southwest Grill","I love Moe's. So much better than Chipotle, IMO. I make the drive out here way more than I like to admit but it's just a great place to get a burrito. This place is different from the other chain burrito places in its array of options. Where Chipotle was going for a streamlined, simplistic menu, Moe's has come in with probably twice as many options. They have tofu, three kinds of grilled veggies (all cooked separately from animal-derived ingredients), rice, beans, guacamole, and a bunch of additional veggies to make the perfect creation.

They give a free order of chips with every order and they have a salsa bar with five or six different salsas at a time. Try the tomatillo, it's seriously the biggest reason I go to Moe's, it's that good. A lot of the other salsas are too sweet for me, but to each their own. Lastly, I rarely drink pop but they have a special Vanilla Peach drink on their Coke Freestyle machine.

I wouldn't reward Moe's with the title of best burrito, I think that belongs to either Ohio City Burrito or Taco Tonto's. But as far as the chain places, Moe's is tops.","2","3","3","3","2","3","3","2","3","3"
"7KgfshQrZ9O9iMIABtm59Q","Nirvana the Flavors of India","Visiting from the US, I was looking for a somewhat decent Indian dining experience for dinner in the Mississauga/Brampton area without walking to a hole in the wall place where you're served on a paper plate and given plastic utensils...and there are tons of those in the area.  It's difficult to scour for a nice place because there's tons of Indians in the area and Yelp reviews seem to dictate there's no satisfying them as they always have a gripe with a restaurant for one reason or another and there seems to be no sure bet go-to place for reliable food.  I dined at Nirvana last night and it fits the bill for a nice place where you can have dinner with friends or family.  None of the food overly impressed me, but there was nothing bad with it..I guess average is how everything can be described from the mango lassi to the naan to the main courses (ordered chicken and paneer dishes) to the dessert.  Why 4 stars instead of 3?  The decor is welcoming and seeing one of the chefs working at the tandoor oven behind a glass is a nice touch I haven't ever seen at another Indian dining establishment.  Lastly, the female servers who work there are adorably cute and always running around with smiles on their faces.  If I'm ever back in the area, I'll definitely be back here for a decent meal and friendly service.","3","2","2","3","2","3","3","1","2","2"
"hNrTy0Ygw2w__LFgRN-dMw","La Cubana","Does the no takeout policy during brunch hours (10-4) make sense when the restaurant is half full at 3:30? I get it when it's slammed, but why adhere to a 'policy' and turn away business with a sandwich order (2) that is so easily filled? I asked, and the waitress just kept repeating 'it's policy' 'it's policy' it's policy' like some automated drone. How about some autonomy and make an easy call to increase your daily sales? Why not be flexible and take my money? This doesn't make sense to me, there are so many other restaurant options in the neighborhood it seems crazy that they feel like they can wave their hand and turn away orders in such a cavalier way.","1","3","3","3","2","3","1","1","2","1"
"QOreEvrNP6iEZo58gCIuBg","Tops N Bottoms Frozen Yogurt","Decent enough froyo. The roadside signage is so nondescript that I drive past this place daily on my way to and from work and have never noticed it. The location itself, once you turn into the plaza, is hidden from the street because it is behind another building. Problematic, but alleviated with good advertising.

Went in and there was another solo chick leaving with her cup of dessert. Layout of store is a little odd: cups and toppings by door, then yogurt dispensers, followed by more toppings and the register, where you are finally addressed by an employee.

Opted to mixed a few flavors: the cookies and cream was on the bland side, but the Tahitian vanilla and dark chocolate were both very good. For toppings, I added strawberries (not many left), cherries, and a sprinkle of peanuts for crunch. Topping selection overall seems to be on the slim side, though I can't tell you what they were missing.

Service was polite. TVs inside were tuned to SportsCenter and the Spurs game. Now that this place is on my radar, it's the closest froyo to home. Will likely be stopping by on my way home from bad days at work.","2","1","3","2","2","2","3","2","2","2"
"i97Bt0ulP8sIEHz5pSRTDg","Mojo Yogurt","For good Froyo, you just got to love some MoJo, yea baby yea! Creamy goodness with half the guilt of ice cream, a spread of tasty toppings, this in the TMP in definitely the place to be! They have little cups for sampling to find your favorite flavor. Great prices and with a yelping good 25% off discount just for ""checking in"" and half off Tuesdays with the FB word of the day, you just can't beat it! Perfect summer treat located in front of the TMP splash pad, you can soak up some sun and enjoy some fromazing yogurt in their outdoor sitting area! Go get you some  Mojo froyo!","2","1","2","1","3","2","1","2","2","2"
"00ITXtcMZ1lKorsTbL8sKA","Celestial Solar Pool Heating Las Vegas","Amazing amazing amazing... Did I say amazing? We usually go through our home warranty for things to be fixed but it usually is a huge hassle so we decided to try a different route.

Our solar was leaking so we called to have someone see it.  Rafael (sp?) came and was just honest and KIND! He gave us our options and didn't make me feel pressured, which for me is a huge deal when dealing with companies. He came back to replace a panel, again on time and just pleasant as can be.

Our solar is now working perfectly and we couldn't be happier.

Definitely recommend this company!","1","2","2","1","3","2","2","3","3","3"
"WTBZoUYPne_lsXD2v95fsA","Helvetica Juice Bar & Cafe","The pros: a good Cuban sandwich, artsy feel to the place, reading material and lots of eye candy on the walls and tables

Cons: Sandwich took a really long time to prepare and we were the only ones there.  The drink (guyabana batido) was not properly prepared and lacked sugar.  Server said he was distracted and forgot to put it in.  And most annoying for me than anything else was the awful dubstep/electronic music that played the whole time.  I wanted to shoot myself or better yet, the sound system, before high-tailing it out of there.  We should have gone to Barocco grill or Mi Pueblo....","1","2","2","1","3","3","2","2","2","3"
"Wqw7YrOVrBecuVpcPGkO6w","Atlantis Health Beauty & Laser Clinic","this place has seriously gone downhill. i came here from a dealsharing voucher for painless lazer hair removal, and compared to the market price, it IS significantly cheaper. i like one technician named Mary- she makes you feel really comfortable even when you're spread eagle and getting a brazilian bikini wax.

my major complaint about this place is that they overbook. it's gotten MUCH worse now. I had an appointment for 1:45pm (over my lunch break for work). it takes me 15 minutes to drive there so i had planned to be back at work on time with time to spare to buy lunch. i waited 25 MINUTES for my appointment, so i finally got in at 2:10. needless to say, i did not make it back to work on time and i had to get my lunch to go and wolf it down at my desk.

not only did i wait 25 minutes for my appointment, but the desk staff were very unapologetic about it. i told them that i was on my lunch and the lady told me ""our two technicians are working so it's beyond our control.""

i'll NEVER go back here again after i'm finished with my brazilian. i'm sure that there are places nearby that provide similar services.","3","2","3","3","2","1","3","2","3","2"
"xXMbtC0bRW4P_QryB9bMng","Café Code Noir","Large, spare cafe with very good espresso that is reminiscent of, though not equal to, Pikolo's (in my view the best in the city). Perhaps because they are using Phil & Sebastian beans (which I often see at Pikolo) while they consider how to bring in Australian beans. Fancy milk from Société-Orignal. Very good pastry; wifi that is uncommonly quick to connect and fast for a Montreal cafe; pleasant staff. Lots of stable, amply sized tables with schoolroom chairs. Peaceful for now but will be interesting to reassess once traffic picks up. Vibe and clientele is polished hipster: sparklier than Pikolo, less actor/model than Arts Cafe or Couteau.","2","1","2","1","2","3","2","2","1","2"
